Date,Open,High,Low,Close,Adj Close,Volume
2024-08-20,59493.453125,61396.328125,58610.8828125,59012.79296875,59012.79296875,31613400008
2024-08-21,59014.98828125,61834.3515625,58823.4453125,61175.19140625,61175.19140625,32731154072
2024-08-22,61168.2265625,61391.21484375,59976.19140625,60554.42578125,60554.42578125,29191022592
