,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.1432885843843401,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.19665719887088162,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.26851084217917354,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.33595705936838005,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.33515732111321395,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.31879951231835335,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.32007092246599544,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.08079126284848748,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.14874963875099212,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.17733016914951794,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.23812947264397177,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2976228591444201,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.3241545222683264,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.3096147574892214,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.31146805320442894,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.06237866763831068,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.13189505028807513,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.148422526054242,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.21896480416834407,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.27651923060710626,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.3056491024599506,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.29965420201165394,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.3056926112318781,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.0445533357262633,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.10734702362403592,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.12246904208786713,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.1950516214701299,10,3,21,Short,Short
