,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.0663898584551248,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.10350542052155554,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.20892958926483463,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.24476999018250822,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.26978767004589876,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.2592002659498567,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.24232016726807348,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.02493091648715584,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.08833518608147717,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.08388967197416797,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.1512559682338077,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.21899590873780994,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.23823512593569518,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.26337000021621293,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.2260197284234593,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.027956600684278854,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.06838209841541065,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.07258356012194245,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.13260282106913124,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.21947645518604908,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.260759626818003,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.22971453081915705,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.21381723827041288,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.008032580845692472,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.05955221002023059,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.09558175890345488,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.1437283709395647,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.18740185882426896,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.2654723305047453,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.2476725241671014,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.20291021075137117,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.00080731316416216,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.038233559727481214,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.06644013081299338,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.09691066316996366,10,3,63,Short,Short
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.16635232856516424,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.24053215180117782,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.22899258436348635,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.22795250708949588,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.025121038305062626,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.04571191913010164,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.04368912315198781,5,3,126,Short,Short
107,Volatility (10 days),Volatility (3 days),Next 126 days,0.08890433692135424,10,3,126,Short,Short
108,Volatility (21 days),Volatility (3 days),Next 126 days,0.16686869023674156,21,3,126,Long,Short
109,Volatility (63 days),Volatility (3 days),Next 126 days,0.1833060137382727,63,3,126,Long,Short
110,Volatility (126 days),Volatility (3 days),Next 126 days,0.23297679037738028,126,3,126,Long,Short
111,Volatility (252 days),Volatility (3 days),Next 126 days,0.20952756458965194,252,3,126,Long,Short
112,Volatility (2 days),Volatility (5 days),Next 1 days,0.330838210946065,2,5,1,Short,Short
113,Volatility (3 days),Volatility (5 days),Next 1 days,0.7829257728256369,3,5,1,Short,Short
114,Volatility (5 days),Volatility (5 days),Next 1 days,0.9160426237657235,5,5,1,Short,Short
115,Volatility (10 days),Volatility (5 days),Next 1 days,0.5066855010907876,10,5,1,Short,Short
116,Volatility (21 days),Volatility (5 days),Next 1 days,0.41301444521963315,21,5,1,Long,Short
117,Volatility (63 days),Volatility (5 days),Next 1 days,0.3947565238229007,63,5,1,Long,Short
118,Volatility (126 days),Volatility (5 days),Next 1 days,0.3472327734363505,126,5,1,Long,Short
119,Volatility (252 days),Volatility (5 days),Next 1 days,0.323059699244447,252,5,1,Long,Short
120,Volatility (2 days),Volatility (5 days),Next 3 days,0.31209012050973595,2,5,3,Short,Short
121,Volatility (3 days),Volatility (5 days),Next 3 days,0.2612678291844741,3,5,3,Short,Short
122,Volatility (5 days),Volatility (5 days),Next 3 days,0.2739691895002583,5,5,3,Short,Short
123,Volatility (10 days),Volatility (5 days),Next 3 days,0.27392386454147744,10,5,3,Short,Short
124,Volatility (21 days),Volatility (5 days),Next 3 days,0.3465251226395578,21,5,3,Long,Short
125,Volatility (63 days),Volatility (5 days),Next 3 days,0.34553948486381003,63,5,3,Long,Short
126,Volatility (126 days),Volatility (5 days),Next 3 days,0.32635629928204146,126,5,3,Long,Short
127,Volatility (252 days),Volatility (5 days),Next 3 days,0.2958328328507873,252,5,3,Long,Short
128,Volatility (2 days),Volatility (5 days),Next 5 days,0.052822443804513064,2,5,5,Short,Short
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.10509776227776513,3,5,5,Short,Short
130,Volatility (5 days),Volatility (5 days),Next 5 days,0.14503187295905917,5,5,5,Short,Short
131,Volatility (10 days),Volatility (5 days),Next 5 days,0.25202582302642895,10,5,5,Short,Short
132,Volatility (21 days),Volatility (5 days),Next 5 days,0.315301245095049,21,5,5,Long,Short
133,Volatility (63 days),Volatility (5 days),Next 5 days,0.3476550115073813,63,5,5,Long,Short
134,Volatility (126 days),Volatility (5 days),Next 5 days,0.3516563100589085,126,5,5,Long,Short
135,Volatility (252 days),Volatility (5 days),Next 5 days,0.31813067233182046,252,5,5,Long,Short
136,Volatility (2 days),Volatility (5 days),Next 10 days,0.033410649611644416,2,5,10,Short,Short
137,Volatility (3 days),Volatility (5 days),Next 10 days,0.08631374248169088,3,5,10,Short,Short
138,Volatility (5 days),Volatility (5 days),Next 10 days,0.1307084172986528,5,5,10,Short,Short
139,Volatility (10 days),Volatility (5 days),Next 10 days,0.24222720237263218,10,5,10,Short,Short
140,Volatility (21 days),Volatility (5 days),Next 10 days,0.2798679634567449,21,5,10,Long,Short
141,Volatility (63 days),Volatility (5 days),Next 10 days,0.34540486592494446,63,5,10,Long,Short
142,Volatility (126 days),Volatility (5 days),Next 10 days,0.32113114659227016,126,5,10,Long,Short
143,Volatility (252 days),Volatility (5 days),Next 10 days,0.3005133101875428,252,5,10,Long,Short
144,Volatility (2 days),Volatility (5 days),Next 21 days,0.0491681217153257,2,5,21,Short,Short
145,Volatility (3 days),Volatility (5 days),Next 21 days,0.07518897272608527,3,5,21,Short,Short
146,Volatility (5 days),Volatility (5 days),Next 21 days,0.09577393089065911,5,5,21,Short,Short
147,Volatility (10 days),Volatility (5 days),Next 21 days,0.17136510230027024,10,5,21,Short,Short
148,Volatility (21 days),Volatility (5 days),Next 21 days,0.2694955073182488,21,5,21,Long,Short
149,Volatility (63 days),Volatility (5 days),Next 21 days,0.33829945553356655,63,5,21,Long,Short
150,Volatility (126 days),Volatility (5 days),Next 21 days,0.31947593450351697,126,5,21,Long,Short
151,Volatility (252 days),Volatility (5 days),Next 21 days,0.2870421012246229,252,5,21,Long,Short
152,Volatility (2 days),Volatility (5 days),Next 63 days,0.006202385599420879,2,5,63,Short,Short
153,Volatility (3 days),Volatility (5 days),Next 63 days,0.044418884938394854,3,5,63,Short,Short
154,Volatility (5 days),Volatility (5 days),Next 63 days,0.07844351932912108,5,5,63,Short,Short
155,Volatility (10 days),Volatility (5 days),Next 63 days,0.16040797146488472,10,5,63,Short,Short
156,Volatility (21 days),Volatility (5 days),Next 63 days,0.2123647786513727,21,5,63,Long,Short
157,Volatility (63 days),Volatility (5 days),Next 63 days,0.26270898201272086,63,5,63,Long,Short
158,Volatility (126 days),Volatility (5 days),Next 63 days,0.2629489935166758,126,5,63,Long,Short
159,Volatility (252 days),Volatility (5 days),Next 63 days,0.2966072033927176,252,5,63,Long,Short
160,Volatility (2 days),Volatility (5 days),Next 126 days,0.0039053997371274463,2,5,126,Short,Short
161,Volatility (3 days),Volatility (5 days),Next 126 days,0.04455256053204959,3,5,126,Short,Short
162,Volatility (5 days),Volatility (5 days),Next 126 days,0.07782469603023667,5,5,126,Short,Short
163,Volatility (10 days),Volatility (5 days),Next 126 days,0.1297258760170994,10,5,126,Short,Short
164,Volatility (21 days),Volatility (5 days),Next 126 days,0.22782563717334003,21,5,126,Long,Short
165,Volatility (63 days),Volatility (5 days),Next 126 days,0.24478959420558954,63,5,126,Long,Short
166,Volatility (126 days),Volatility (5 days),Next 126 days,0.2660172944473693,126,5,126,Long,Short
167,Volatility (252 days),Volatility (5 days),Next 126 days,0.255928196962957,252,5,126,Long,Short
168,Volatility (2 days),Volatility (10 days),Next 1 days,0.13671877551714484,2,10,1,Short,Short
169,Volatility (3 days),Volatility (10 days),Next 1 days,0.38726130470133047,3,10,1,Short,Short
170,Volatility (5 days),Volatility (10 days),Next 1 days,0.6836057541743434,5,10,1,Short,Short
171,Volatility (10 days),Volatility (10 days),Next 1 days,2.5932119430501523,10,10,1,Short,Short
172,Volatility (21 days),Volatility (10 days),Next 1 days,1.2810651715778354,21,10,1,Long,Short
173,Volatility (63 days),Volatility (10 days),Next 1 days,1.2314506498803484,63,10,1,Long,Short
174,Volatility (126 days),Volatility (10 days),Next 1 days,1.2598680181925257,126,10,1,Long,Short
175,Volatility (252 days),Volatility (10 days),Next 1 days,1.238706879170019,252,10,1,Long,Short
176,Volatility (2 days),Volatility (10 days),Next 3 days,0.1538478539909791,2,10,3,Short,Short
177,Volatility (3 days),Volatility (10 days),Next 3 days,0.37899087238330686,3,10,3,Short,Short
178,Volatility (5 days),Volatility (10 days),Next 3 days,0.6966524361562634,5,10,3,Short,Short
179,Volatility (10 days),Volatility (10 days),Next 3 days,0.9088399992329137,10,10,3,Short,Short
180,Volatility (21 days),Volatility (10 days),Next 3 days,1.0397042221006494,21,10,3,Long,Short
181,Volatility (63 days),Volatility (10 days),Next 3 days,1.112080966485638,63,10,3,Long,Short
182,Volatility (126 days),Volatility (10 days),Next 3 days,1.0570994509790896,126,10,3,Long,Short
183,Volatility (252 days),Volatility (10 days),Next 3 days,1.1033678826110602,252,10,3,Long,Short
184,Volatility (2 days),Volatility (10 days),Next 5 days,0.15986881737250336,2,10,5,Short,Short
185,Volatility (3 days),Volatility (10 days),Next 5 days,0.39036489961987364,3,10,5,Short,Short
186,Volatility (5 days),Volatility (10 days),Next 5 days,0.7283856441755683,5,10,5,Short,Short
187,Volatility (10 days),Volatility (10 days),Next 5 days,0.6813017712935299,10,10,5,Short,Short
188,Volatility (21 days),Volatility (10 days),Next 5 days,0.9756339558175684,21,10,5,Long,Short
189,Volatility (63 days),Volatility (10 days),Next 5 days,1.106172690915522,63,10,5,Long,Short
190,Volatility (126 days),Volatility (10 days),Next 5 days,1.10060030682728,126,10,5,Long,Short
191,Volatility (252 days),Volatility (10 days),Next 5 days,1.1167535684635608,252,10,5,Long,Short
192,Volatility (2 days),Volatility (10 days),Next 10 days,0.0508583702561376,2,10,10,Short,Short
193,Volatility (3 days),Volatility (10 days),Next 10 days,0.1803804926544359,3,10,10,Short,Short
194,Volatility (5 days),Volatility (10 days),Next 10 days,0.23125269523780645,5,10,10,Short,Short
195,Volatility (10 days),Volatility (10 days),Next 10 days,0.6221006210563393,10,10,10,Short,Short
196,Volatility (21 days),Volatility (10 days),Next 10 days,1.1016074092356547,21,10,10,Long,Short
197,Volatility (63 days),Volatility (10 days),Next 10 days,1.2751075509933205,63,10,10,Long,Short
198,Volatility (126 days),Volatility (10 days),Next 10 days,1.3312501814217015,126,10,10,Long,Short
199,Volatility (252 days),Volatility (10 days),Next 10 days,1.3330565276475417,252,10,10,Long,Short
200,Volatility (2 days),Volatility (10 days),Next 21 days,0.04409439666248627,2,10,21,Short,Short
201,Volatility (3 days),Volatility (10 days),Next 21 days,0.15372527774439249,3,10,21,Short,Short
202,Volatility (5 days),Volatility (10 days),Next 21 days,0.21481867703269142,5,10,21,Short,Short
203,Volatility (10 days),Volatility (10 days),Next 21 days,0.46541833117414644,10,10,21,Short,Short
204,Volatility (21 days),Volatility (10 days),Next 21 days,0.9604508922919015,21,10,21,Long,Short
205,Volatility (63 days),Volatility (10 days),Next 21 days,1.1206260469779732,63,10,21,Long,Short
206,Volatility (126 days),Volatility (10 days),Next 21 days,1.1319974919767057,126,10,21,Long,Short
207,Volatility (252 days),Volatility (10 days),Next 21 days,1.1657644603237127,252,10,21,Long,Short
208,Volatility (2 days),Volatility (10 days),Next 63 days,0.015356334674882177,2,10,63,Short,Short
209,Volatility (3 days),Volatility (10 days),Next 63 days,0.1087930203327181,3,10,63,Short,Short
210,Volatility (5 days),Volatility (10 days),Next 63 days,0.17868196072005738,5,10,63,Short,Short
211,Volatility (10 days),Volatility (10 days),Next 63 days,0.4248694629490313,10,10,63,Short,Short
212,Volatility (21 days),Volatility (10 days),Next 63 days,0.8742945931125119,21,10,63,Long,Short
213,Volatility (63 days),Volatility (10 days),Next 63 days,1.0480077546922182,63,10,63,Long,Short
214,Volatility (126 days),Volatility (10 days),Next 63 days,1.0462626245730613,126,10,63,Long,Short
215,Volatility (252 days),Volatility (10 days),Next 63 days,1.1119315938895653,252,10,63,Long,Short
216,Volatility (2 days),Volatility (10 days),Next 126 days,0.028791889425258788,2,10,126,Short,Short
217,Volatility (3 days),Volatility (10 days),Next 126 days,0.09349492208541221,3,10,126,Short,Short
218,Volatility (5 days),Volatility (10 days),Next 126 days,0.10366592753118642,5,10,126,Short,Short
219,Volatility (10 days),Volatility (10 days),Next 126 days,0.4278947316375268,10,10,126,Short,Short
220,Volatility (21 days),Volatility (10 days),Next 126 days,0.8233423076977164,21,10,126,Long,Short
221,Volatility (63 days),Volatility (10 days),Next 126 days,1.0242560373783345,63,10,126,Long,Short
222,Volatility (126 days),Volatility (10 days),Next 126 days,1.1722131406144678,126,10,126,Long,Short
223,Volatility (252 days),Volatility (10 days),Next 126 days,1.1521960805956848,252,10,126,Long,Short
224,Volatility (2 days),Volatility (21 days),Next 1 days,0.11751404019402933,2,21,1,Short,Long
225,Volatility (3 days),Volatility (21 days),Next 1 days,0.3451353129265389,3,21,1,Short,Long
226,Volatility (5 days),Volatility (21 days),Next 1 days,0.45520589724495064,5,21,1,Short,Long
227,Volatility (10 days),Volatility (21 days),Next 1 days,1.3577569010809043,10,21,1,Short,Long
228,Volatility (21 days),Volatility (21 days),Next 1 days,4.275623625924578,21,21,1,Long,Long
229,Volatility (63 days),Volatility (21 days),Next 1 days,3.0454133899023894,63,21,1,Long,Long
230,Volatility (126 days),Volatility (21 days),Next 1 days,3.0441982394008695,126,21,1,Long,Long
231,Volatility (252 days),Volatility (21 days),Next 1 days,3.1332494625666913,252,21,1,Long,Long
232,Volatility (2 days),Volatility (21 days),Next 3 days,0.10486761302801284,2,21,3,Short,Long
233,Volatility (3 days),Volatility (21 days),Next 3 days,0.32566140317747916,3,21,3,Short,Long
234,Volatility (5 days),Volatility (21 days),Next 3 days,0.46127328291901737,5,21,3,Short,Long
235,Volatility (10 days),Volatility (21 days),Next 3 days,1.2723591027000678,10,21,3,Short,Long
236,Volatility (21 days),Volatility (21 days),Next 3 days,2.4904024700398075,21,21,3,Long,Long
237,Volatility (63 days),Volatility (21 days),Next 3 days,2.717853366064408,63,21,3,Long,Long
238,Volatility (126 days),Volatility (21 days),Next 3 days,2.7388040382800063,126,21,3,Long,Long
239,Volatility (252 days),Volatility (21 days),Next 3 days,2.8465806606429873,252,21,3,Long,Long
240,Volatility (2 days),Volatility (21 days),Next 5 days,0.1126997220361714,2,21,5,Short,Long
241,Volatility (3 days),Volatility (21 days),Next 5 days,0.33646541157228516,3,21,5,Short,Long
242,Volatility (5 days),Volatility (21 days),Next 5 days,0.4562357834192694,5,21,5,Short,Long
243,Volatility (10 days),Volatility (21 days),Next 5 days,1.3258408559957386,10,21,5,Short,Long
244,Volatility (21 days),Volatility (21 days),Next 5 days,2.580304952115774,21,21,5,Long,Long
245,Volatility (63 days),Volatility (21 days),Next 5 days,2.770990840051741,63,21,5,Long,Long
246,Volatility (126 days),Volatility (21 days),Next 5 days,2.8149945834494865,126,21,5,Long,Long
247,Volatility (252 days),Volatility (21 days),Next 5 days,2.918910571676332,252,21,5,Long,Long
248,Volatility (2 days),Volatility (21 days),Next 10 days,0.1072569806213961,2,21,10,Short,Long
249,Volatility (3 days),Volatility (21 days),Next 10 days,0.3398265683216879,3,21,10,Short,Long
250,Volatility (5 days),Volatility (21 days),Next 10 days,0.4714828617194131,5,21,10,Short,Long
251,Volatility (10 days),Volatility (21 days),Next 10 days,1.3900297637352361,10,21,10,Short,Long
