,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.14422412426715514,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.16212568974184904,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.2514156934419107,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.2954971251123366,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.29832021024121147,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.2886012722985054,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.28869858887403854,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.06704938214342882,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.12185254641383914,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.1470584742627512,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.219487561508803,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.26723245833867537,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.28598395717122926,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.27108534680209306,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.2628563865000535,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.040903840580141626,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.0971571395230173,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.12637238382508276,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.1931900614242581,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.26770227309405836,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.27070584606766435,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.273556025323602,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.25581906365729257,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.02824315843394043,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.07268107786866906,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.08890859173976295,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.1625641512082101,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.21830740328176912,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.26693910604739557,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.2530850045856061,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.24104257306414745,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.019241578121096836,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.06160768256532023,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.07726677361833545,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.13818504623297656,10,3,63,Short,Short
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.1940382445050366,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.22614978258007934,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.24008792312345584,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.24967505623478647,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.007832429323666013,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.04490151698929079,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.06951894670308434,5,3,126,Short,Short
107,Volatility (10 days),Volatility (3 days),Next 126 days,0.11809983136123492,10,3,126,Short,Short
108,Volatility (21 days),Volatility (3 days),Next 126 days,0.17231745269938425,21,3,126,Long,Short
109,Volatility (63 days),Volatility (3 days),Next 126 days,0.22370863288279885,63,3,126,Long,Short
110,Volatility (126 days),Volatility (3 days),Next 126 days,0.23561495864248005,126,3,126,Long,Short
111,Volatility (252 days),Volatility (3 days),Next 126 days,0.2441303464703548,252,3,126,Long,Short
112,Volatility (2 days),Volatility (5 days),Next 1 days,0.4164120143046057,2,5,1,Short,Short
113,Volatility (3 days),Volatility (5 days),Next 1 days,0.9242331086575577,3,5,1,Short,Short
114,Volatility (5 days),Volatility (5 days),Next 1 days,1.114622790640495,5,5,1,Short,Short
115,Volatility (10 days),Volatility (5 days),Next 1 days,0.6012619291904366,10,5,1,Short,Short
116,Volatility (21 days),Volatility (5 days),Next 1 days,0.48755330653980256,21,5,1,Long,Short
117,Volatility (63 days),Volatility (5 days),Next 1 days,0.3847312082382359,63,5,1,Long,Short
118,Volatility (126 days),Volatility (5 days),Next 1 days,0.3523454763303784,126,5,1,Long,Short
119,Volatility (252 days),Volatility (5 days),Next 1 days,0.3441765538388317,252,5,1,Long,Short
120,Volatility (2 days),Volatility (5 days),Next 3 days,0.41926704088379196,2,5,3,Short,Short
121,Volatility (3 days),Volatility (5 days),Next 3 days,0.35899117158340754,3,5,3,Short,Short
122,Volatility (5 days),Volatility (5 days),Next 3 days,0.3735053116005398,5,5,3,Short,Short
123,Volatility (10 days),Volatility (5 days),Next 3 days,0.39596124931003285,10,5,3,Short,Short
124,Volatility (21 days),Volatility (5 days),Next 3 days,0.4179233778904594,21,5,3,Long,Short
125,Volatility (63 days),Volatility (5 days),Next 3 days,0.3656721117551971,63,5,3,Long,Short
126,Volatility (126 days),Volatility (5 days),Next 3 days,0.3311748575187776,126,5,3,Long,Short
127,Volatility (252 days),Volatility (5 days),Next 3 days,0.3415690495465986,252,5,3,Long,Short
128,Volatility (2 days),Volatility (5 days),Next 5 days,0.07734250981317548,2,5,5,Short,Short
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.16692577681467746,3,5,5,Short,Short
130,Volatility (5 days),Volatility (5 days),Next 5 days,0.21026821039504906,5,5,5,Short,Short
131,Volatility (10 days),Volatility (5 days),Next 5 days,0.30879258214771,10,5,5,Short,Short
132,Volatility (21 days),Volatility (5 days),Next 5 days,0.39128459187438125,21,5,5,Long,Short
133,Volatility (63 days),Volatility (5 days),Next 5 days,0.36597630757184607,63,5,5,Long,Short
134,Volatility (126 days),Volatility (5 days),Next 5 days,0.3489235782757998,126,5,5,Long,Short
135,Volatility (252 days),Volatility (5 days),Next 5 days,0.3479669729349508,252,5,5,Long,Short
136,Volatility (2 days),Volatility (5 days),Next 10 days,0.0728172871892685,2,5,10,Short,Short
137,Volatility (3 days),Volatility (5 days),Next 10 days,0.13154459146241937,3,5,10,Short,Short
138,Volatility (5 days),Volatility (5 days),Next 10 days,0.16144006102822583,5,5,10,Short,Short
139,Volatility (10 days),Volatility (5 days),Next 10 days,0.22855967678793032,10,5,10,Short,Short
140,Volatility (21 days),Volatility (5 days),Next 10 days,0.3269835797727829,21,5,10,Long,Short
141,Volatility (63 days),Volatility (5 days),Next 10 days,0.3402181141859266,63,5,10,Long,Short
142,Volatility (126 days),Volatility (5 days),Next 10 days,0.32563122812640977,126,5,10,Long,Short
143,Volatility (252 days),Volatility (5 days),Next 10 days,0.3317688242524168,252,5,10,Long,Short
144,Volatility (2 days),Volatility (5 days),Next 21 days,0.05538669397747853,2,5,21,Short,Short
145,Volatility (3 days),Volatility (5 days),Next 21 days,0.10497811207303887,3,5,21,Short,Short
146,Volatility (5 days),Volatility (5 days),Next 21 days,0.12480422047904938,5,5,21,Short,Short
147,Volatility (10 days),Volatility (5 days),Next 21 days,0.1925002637980473,10,5,21,Short,Short
148,Volatility (21 days),Volatility (5 days),Next 21 days,0.274306097828946,21,5,21,Long,Short
149,Volatility (63 days),Volatility (5 days),Next 21 days,0.3052497199168904,63,5,21,Long,Short
150,Volatility (126 days),Volatility (5 days),Next 21 days,0.3218349614731304,126,5,21,Long,Short
151,Volatility (252 days),Volatility (5 days),Next 21 days,0.3211694077302587,252,5,21,Long,Short
152,Volatility (2 days),Volatility (5 days),Next 63 days,0.024878470524257956,2,5,63,Short,Short
153,Volatility (3 days),Volatility (5 days),Next 63 days,0.06603082290532392,3,5,63,Short,Short
154,Volatility (5 days),Volatility (5 days),Next 63 days,0.09635721196139979,5,5,63,Short,Short
155,Volatility (10 days),Volatility (5 days),Next 63 days,0.15771869706673858,10,5,63,Short,Short
