,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.12022579213609497,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.1570180647077093,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.25318550508768034,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.32191404304953064,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.29609953657248145,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.3264288518741614,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.3126903156662051,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.0459109233912276,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.12156345191977724,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.14477088542038885,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.2510144636347462,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.267525622187784,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.2848774655283055,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.269355197421806,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.2756938716993762,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.03887460739012916,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.10621450078833927,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.14229110083761487,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.20214213464375685,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.2781318473726522,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.27511082214573257,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.27469989271759765,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.28753247808253235,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.023954820298889068,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.09572512456707383,3,3,21,Short,Short
