,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.1804983997267673,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.2060852600673,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.30561106911534885,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.32818117934035307,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.33273403924982503,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.3196459255070696,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.28320181576363,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.07377388841331367,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.148837663868167,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.1779548697162845,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.26632330571304763,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.29573943149456206,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.3123252202258415,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.27797804877421406,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.2856520339596704,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.07138699615017163,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.13409686322368675,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.13941241142270044,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.21638268126138094,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.27008342371354477,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.2657756030917575,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.2970407029682063,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.2578070812116584,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.03062603781893536,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.06893758434266939,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.11084587437590354,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.16168989302982073,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.26432474862148236,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.237820289781137,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.3067197409324285,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.22687250497675127,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.022576224405074896,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.0821383767082633,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.05052084471340734,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.12688034347953892,10,3,63,Short,Short
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.20998789860793377,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.21694243063759977,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.22152071353511538,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.20861530894140312,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.018876766885952634,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.049486387160659895,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.04450264658520897,5,3,126,Short,Short
107,Volatility (10 days),Volatility (3 days),Next 126 days,0.13210600454831933,10,3,126,Short,Short
108,Volatility (21 days),Volatility (3 days),Next 126 days,0.14671204699931728,21,3,126,Long,Short
109,Volatility (63 days),Volatility (3 days),Next 126 days,0.22803128143812046,63,3,126,Long,Short
110,Volatility (126 days),Volatility (3 days),Next 126 days,0.18370323039563097,126,3,126,Long,Short
111,Volatility (252 days),Volatility (3 days),Next 126 days,0.21617587126507232,252,3,126,Long,Short
112,Volatility (2 days),Volatility (5 days),Next 1 days,0.42689884043651993,2,5,1,Short,Short
113,Volatility (3 days),Volatility (5 days),Next 1 days,0.938475585358348,3,5,1,Short,Short
114,Volatility (5 days),Volatility (5 days),Next 1 days,1.1166855035742955,5,5,1,Short,Short
115,Volatility (10 days),Volatility (5 days),Next 1 days,0.6562314386342463,10,5,1,Short,Short
116,Volatility (21 days),Volatility (5 days),Next 1 days,0.5575546756729706,21,5,1,Long,Short
117,Volatility (63 days),Volatility (5 days),Next 1 days,0.42814620962862815,63,5,1,Long,Short
118,Volatility (126 days),Volatility (5 days),Next 1 days,0.3709552816539734,126,5,1,Long,Short
119,Volatility (252 days),Volatility (5 days),Next 1 days,0.3305764935782207,252,5,1,Long,Short
120,Volatility (2 days),Volatility (5 days),Next 3 days,0.42910850933163136,2,5,3,Short,Short
121,Volatility (3 days),Volatility (5 days),Next 3 days,0.39683446640894626,3,5,3,Short,Short
122,Volatility (5 days),Volatility (5 days),Next 3 days,0.44205855267782646,5,5,3,Short,Short
123,Volatility (10 days),Volatility (5 days),Next 3 days,0.4693597975691919,10,5,3,Short,Short
124,Volatility (21 days),Volatility (5 days),Next 3 days,0.4227562179639257,21,5,3,Long,Short
125,Volatility (63 days),Volatility (5 days),Next 3 days,0.41610327842212413,63,5,3,Long,Short
126,Volatility (126 days),Volatility (5 days),Next 3 days,0.38579766176427377,126,5,3,Long,Short
127,Volatility (252 days),Volatility (5 days),Next 3 days,0.34309443350867763,252,5,3,Long,Short
128,Volatility (2 days),Volatility (5 days),Next 5 days,0.11044237056645834,2,5,5,Short,Short
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.19672527710341026,3,5,5,Short,Short
130,Volatility (5 days),Volatility (5 days),Next 5 days,0.2880316955440625,5,5,5,Short,Short
131,Volatility (10 days),Volatility (5 days),Next 5 days,0.3751603280699065,10,5,5,Short,Short
132,Volatility (21 days),Volatility (5 days),Next 5 days,0.41895555222218395,21,5,5,Long,Short
133,Volatility (63 days),Volatility (5 days),Next 5 days,0.43081455930180645,63,5,5,Long,Short
134,Volatility (126 days),Volatility (5 days),Next 5 days,0.39540584234465737,126,5,5,Long,Short
135,Volatility (252 days),Volatility (5 days),Next 5 days,0.345975338804104,252,5,5,Long,Short
136,Volatility (2 days),Volatility (5 days),Next 10 days,0.10700642993668197,2,5,10,Short,Short
137,Volatility (3 days),Volatility (5 days),Next 10 days,0.1680753595303912,3,5,10,Short,Short
138,Volatility (5 days),Volatility (5 days),Next 10 days,0.21297415083160498,5,5,10,Short,Short
139,Volatility (10 days),Volatility (5 days),Next 10 days,0.2921236415438342,10,5,10,Short,Short
140,Volatility (21 days),Volatility (5 days),Next 10 days,0.3776989439224847,21,5,10,Long,Short
141,Volatility (63 days),Volatility (5 days),Next 10 days,0.36057026892737465,63,5,10,Long,Short
142,Volatility (126 days),Volatility (5 days),Next 10 days,0.3647346725307692,126,5,10,Long,Short
143,Volatility (252 days),Volatility (5 days),Next 10 days,0.3135688329924946,252,5,10,Long,Short
144,Volatility (2 days),Volatility (5 days),Next 21 days,0.05010919630241695,2,5,21,Short,Short
145,Volatility (3 days),Volatility (5 days),Next 21 days,0.10797248719424513,3,5,21,Short,Short
146,Volatility (5 days),Volatility (5 days),Next 21 days,0.1423662023844754,5,5,21,Short,Short
147,Volatility (10 days),Volatility (5 days),Next 21 days,0.21960200755265458,10,5,21,Short,Short
148,Volatility (21 days),Volatility (5 days),Next 21 days,0.31291101487957906,21,5,21,Long,Short
