,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.110886774433407,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.18399690765055965,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.2698302576999838,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.30186126530883595,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.27458852488163465,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.24689358841020503,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.01444610879583319,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.059926244561402164,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.08483014206790074,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.15096030288058415,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2605225798386357,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.2581059649363322,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.24645860707602818,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.2269413489318275,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.02361761747312663,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.0568621089353627,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.07765107199687993,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.1615505501873935,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.20983181526814398,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.23948038466364618,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.23012106981291502,126,3,10,Long,Short
