,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.15871332854274822,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.17407005939499776,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.3078911263841526,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.31117160676618294,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.3038709475648824,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.2671038709424982,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.2536624309690305,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.054431335528124514,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.12765905435137803,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.14959766361571258,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.23653705540369163,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2841463270408635,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.2478447223779332,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.2692608301026844,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.23859672459675796,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.04664471968746753,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.128696380602479,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.14663220808727662,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.19708924269841432,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.25623421337432717,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.2680128307778622,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.25904870962561777,126,3,10,Long,Short
