,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.1156600471912439,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.11458627103933416,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.20773411482733817,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.27490743409186447,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.262233225169493,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.29799759447129226,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.24646012644668058,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.06730283430881201,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.09302202491299827,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.11741212475946483,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.17788446670759228,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2609084508092554,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.2572184203790604,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.27694546412965515,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.24238522818090402,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.047187029201124275,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.0886400969332346,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.08334437513187787,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.16377693029415585,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.23996681263082476,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.29133238858897137,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.2889557824201683,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.24431944179598197,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.008467737999747094,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.05798039305003311,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.08741884942784495,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.15578747903762302,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.2093904673280358,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.2485348615804588,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.2813296742591449,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.24259342957702845,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.020926987676439524,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.05151575849489998,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.0963571389816309,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.1319477301617873,10,3,63,Short,Short
