,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.13278878208802958,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.14212089933564087,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.23880700477341055,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.2615260218877191,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.2623489978901956,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.26182364939560454,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.25710388196348877,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.04647850849989865,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.08595531508337384,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.10725307092636616,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.20593994087863354,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2257257619992199,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.23517286427774842,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.23685702999682423,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.23568035175762336,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.030196235482403466,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.06726136582430264,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.11447712623779349,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.16015006991584624,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.21747216856631635,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.2345510752721225,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.23117239378131949,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.21517780808335463,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.035942906884576686,2,3,21,Short,Short
89,Volatility (3 days),Volatility (3 days),Next 21 days,0.05736378253429475,3,3,21,Short,Short
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.08123540939889828,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.13808336544189093,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.19301811452060313,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.2359831216308539,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.2408498132781265,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.2286570924064133,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.000651012974330456,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.06726660908250537,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.0357254012353847,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.08700565917574021,10,3,63,Short,Short
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.15346308153620214,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.21868365760008857,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.21521678083259488,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.22157942460977065,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.0,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.03979953004228687,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.05252101186279745,5,3,126,Short,Short
107,Volatility (10 days),Volatility (3 days),Next 126 days,0.10262546356576863,10,3,126,Short,Short
108,Volatility (21 days),Volatility (3 days),Next 126 days,0.14747387682020197,21,3,126,Long,Short
109,Volatility (63 days),Volatility (3 days),Next 126 days,0.15869054269968608,63,3,126,Long,Short
110,Volatility (126 days),Volatility (3 days),Next 126 days,0.20517703955805722,126,3,126,Long,Short
111,Volatility (252 days),Volatility (3 days),Next 126 days,0.20763973548597825,252,3,126,Long,Short
112,Volatility (2 days),Volatility (5 days),Next 1 days,0.33068445390452705,2,5,1,Short,Short
113,Volatility (3 days),Volatility (5 days),Next 1 days,0.8036002375893583,3,5,1,Short,Short
114,Volatility (5 days),Volatility (5 days),Next 1 days,0.985891106218654,5,5,1,Short,Short
115,Volatility (10 days),Volatility (5 days),Next 1 days,0.5562606873717986,10,5,1,Short,Short
116,Volatility (21 days),Volatility (5 days),Next 1 days,0.43026491445885107,21,5,1,Long,Short
117,Volatility (63 days),Volatility (5 days),Next 1 days,0.3825054624394264,63,5,1,Long,Short
118,Volatility (126 days),Volatility (5 days),Next 1 days,0.32758596525522865,126,5,1,Long,Short
119,Volatility (252 days),Volatility (5 days),Next 1 days,0.28751815378275225,252,5,1,Long,Short
120,Volatility (2 days),Volatility (5 days),Next 3 days,0.3575480115154308,2,5,3,Short,Short
121,Volatility (3 days),Volatility (5 days),Next 3 days,0.3103021234397403,3,5,3,Short,Short
122,Volatility (5 days),Volatility (5 days),Next 3 days,0.3188852252171097,5,5,3,Short,Short
123,Volatility (10 days),Volatility (5 days),Next 3 days,0.38016256716207586,10,5,3,Short,Short
124,Volatility (21 days),Volatility (5 days),Next 3 days,0.38292811124783555,21,5,3,Long,Short
125,Volatility (63 days),Volatility (5 days),Next 3 days,0.3472019573531604,63,5,3,Long,Short
126,Volatility (126 days),Volatility (5 days),Next 3 days,0.3041280761021419,126,5,3,Long,Short
127,Volatility (252 days),Volatility (5 days),Next 3 days,0.2948850098181204,252,5,3,Long,Short
128,Volatility (2 days),Volatility (5 days),Next 5 days,0.07787908731551951,2,5,5,Short,Short
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.1350183422419038,3,5,5,Short,Short
130,Volatility (5 days),Volatility (5 days),Next 5 days,0.19892170502501827,5,5,5,Short,Short
131,Volatility (10 days),Volatility (5 days),Next 5 days,0.30445785848602913,10,5,5,Short,Short
132,Volatility (21 days),Volatility (5 days),Next 5 days,0.3407298104452705,21,5,5,Long,Short
133,Volatility (63 days),Volatility (5 days),Next 5 days,0.3206466811064077,63,5,5,Long,Short
134,Volatility (126 days),Volatility (5 days),Next 5 days,0.3282155068227608,126,5,5,Long,Short
135,Volatility (252 days),Volatility (5 days),Next 5 days,0.2976937289772259,252,5,5,Long,Short
136,Volatility (2 days),Volatility (5 days),Next 10 days,0.03826835063815004,2,5,10,Short,Short
137,Volatility (3 days),Volatility (5 days),Next 10 days,0.1332120392863132,3,5,10,Short,Short
138,Volatility (5 days),Volatility (5 days),Next 10 days,0.15636636341127996,5,5,10,Short,Short
139,Volatility (10 days),Volatility (5 days),Next 10 days,0.23952997740708337,10,5,10,Short,Short
140,Volatility (21 days),Volatility (5 days),Next 10 days,0.2883418335787695,21,5,10,Long,Short
141,Volatility (63 days),Volatility (5 days),Next 10 days,0.304431587472485,63,5,10,Long,Short
142,Volatility (126 days),Volatility (5 days),Next 10 days,0.30777481008225394,126,5,10,Long,Short
