,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
65,Volatility (3 days),Volatility (3 days),Next 3 days,0.12916260725657214,3,3,3,Short,Short
66,Volatility (5 days),Volatility (3 days),Next 3 days,0.1730504077428927,5,3,3,Short,Short
67,Volatility (10 days),Volatility (3 days),Next 3 days,0.2389421768434481,10,3,3,Short,Short
68,Volatility (21 days),Volatility (3 days),Next 3 days,0.3008823021082607,21,3,3,Long,Short
69,Volatility (63 days),Volatility (3 days),Next 3 days,0.2719198124549296,63,3,3,Long,Short
70,Volatility (126 days),Volatility (3 days),Next 3 days,0.27370204299865186,126,3,3,Long,Short
71,Volatility (252 days),Volatility (3 days),Next 3 days,0.26156301257782033,252,3,3,Long,Short
72,Volatility (2 days),Volatility (3 days),Next 5 days,0.06723675951742614,2,3,5,Short,Short
73,Volatility (3 days),Volatility (3 days),Next 5 days,0.12466331079785853,3,3,5,Short,Short
74,Volatility (5 days),Volatility (3 days),Next 5 days,0.16524196723161655,5,3,5,Short,Short
75,Volatility (10 days),Volatility (3 days),Next 5 days,0.20887375931121177,10,3,5,Short,Short
76,Volatility (21 days),Volatility (3 days),Next 5 days,0.2681620887662062,21,3,5,Long,Short
77,Volatility (63 days),Volatility (3 days),Next 5 days,0.26950276194150025,63,3,5,Long,Short
78,Volatility (126 days),Volatility (3 days),Next 5 days,0.2789864586716062,126,3,5,Long,Short
79,Volatility (252 days),Volatility (3 days),Next 5 days,0.25210239003936596,252,3,5,Long,Short
80,Volatility (2 days),Volatility (3 days),Next 10 days,0.05861864580358045,2,3,10,Short,Short
81,Volatility (3 days),Volatility (3 days),Next 10 days,0.09672762125594403,3,3,10,Short,Short
82,Volatility (5 days),Volatility (3 days),Next 10 days,0.12957109506789521,5,3,10,Short,Short
83,Volatility (10 days),Volatility (3 days),Next 10 days,0.19679257059761035,10,3,10,Short,Short
84,Volatility (21 days),Volatility (3 days),Next 10 days,0.2522860327641929,21,3,10,Long,Short
85,Volatility (63 days),Volatility (3 days),Next 10 days,0.27694270046778335,63,3,10,Long,Short
86,Volatility (126 days),Volatility (3 days),Next 10 days,0.2726063300972408,126,3,10,Long,Short
87,Volatility (252 days),Volatility (3 days),Next 10 days,0.25094792019816925,252,3,10,Long,Short
88,Volatility (2 days),Volatility (3 days),Next 21 days,0.029903732096877356,2,3,21,Short,Short
